All_12_15,All_12_3,All_15_18,All_18_21,All_21_24,All_3_6,All_6_9,All_9_12,BikeFatal,Bike_12_15,Bike_12_3,Bike_15_18,Bike_18_21,Bike_21_24,Bike_3_6,Bike_6_9,Bike_9_12,Fatalities,MVFatal,MV_12_15,MV_12_3,MV_15_18,MV_18_21,MV_21_24,MV_3_6,MV_6_9,MV_9_12,OBJECTID,PedFatal,Ped_12_15,Ped_12_3,Ped_15_18,Ped_18_21,Ped_21_24,Ped_3_6,Ped_6_9,Ped_9_12,geometry_x,geometry_y,source_layer_id
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,121,1,0,1,0,0,0,0,0,0,1025416.8523655087,185492.3301806748,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122,1,0,0,1,0,0,0,0,0,1028444.8643540889,180691.55205258727,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,123,0,0,0,0,0,0,0,0,0,1022825.4070890844,191537.17668674886,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124,1,0,0,0,0,1,0,0,0,1026473.9365374297,192438.51674759388,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125,1,0,0,1,0,0,0,0,0,1033939.4563832581,183624.11213234067,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,126,0,0,0,0,0,0,0,0,0,1037753.4608943462,188732.28728342056,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,127,1,0,0,0,1,0,0,0,0,1031706.8456910104,192103.9209600836,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,128,0,0,0,0,0,0,0,0,0,1036349.4545160085,192136.22404508293,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129,1,0,0,0,1,0,0,0,0,1037195.4764460027,195031.81503866613,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,1,0,0,0,1,0,0,0,0,1047709.0377679169,156465.51553100348,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,131,1,0,0,0,0,0,0,1,0,1041406.9312776774,189382.97167758644,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,1,0,0,0,1,0,0,0,0,1042992.3841435015,191591.43182758987,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,1046815.2209860086,195838.2865228355,0
